ID,Time,Author,AuthorIsBot,Channel,Content
1232236130783592572,2024-04-23 07:46:27.536710,yogeshbansal,False,🧩-letterloops,$feedme
1232236132742201354,2024-04-23 07:46:28.031843,LetterLoops,True,🧩-letterloops,
1232236135317766194,2024-04-23 07:46:28.637627,LetterLoops,True,🧩-letterloops,
1232236192712491008,2024-04-23 07:46:42.206879,yogeshbansal,False,🧩-letterloops,athsociopathsoc
1232236193832501359,2024-04-23 07:46:42.565926,LetterLoops,True,🧩-letterloops,"🥳 You Got it 🥳
Solved in 15 seconds
1/2 of Today's summoned puzzles solved."
1232236211268222977,2024-04-23 07:46:46.636889,yogeshbansal,False,🧩-letterloops,calibrations
1232236212144832523,2024-04-23 07:46:46.849062,LetterLoops,True,🧩-letterloops,"🥳 You Got it 🥳
Solved in 19 seconds
2/2 of Today's summoned puzzles solved."
1232239605202288660,2024-04-23 08:00:15.829804,yogeshbansal,False,🧩-letterloops,show leaderboard
1232239605885960255,2024-04-23 08:00:16.006642,LetterLoops,True,🧩-letterloops,"```
  LootBox ┃      User        Solves (Rank)   Mean Solve Time (Rank)  
 ━━━━━━━━━ ━━━━━━━━━━━━━━━━ ━━━━━━━━━━━━━━━ ━━━━━━━━━━━━━━━━━━━━━━━━ 
  23.25 % ┃  yogeshbansal       35 (7)            0:00:29 (5)        
  23.25 % ┃   holydiving        33 (9)            0:00:26 (3)        
  7.75 %  ┃  maryann9609        37 (3)            0:00:49 (11)       
  5.81 %  ┃ omnianalytics       34 (8)            0:00:34 (7)        
  5.81 %  ┃   hmairura6         37 (3)            0:00:55 (12)       
  5.81 %  ┃   makaroni00        31 (12)           0:00:26 (3)        
  3.32 %  ┃     0xjudd          32 (11)           0:00:29 (5)        
  2.91 %  ┃    thegiwi          36 (5)            0:00:55 (12)       
  2.91 %  ┃    htp8861          27 (15)           0:00:19 (2)        
  2.32 %  ┃    emusakhi         48 (1)            0:03:04 (17)       
  2.11 %  ┃     .djw.           33 (9)            0:00:43 (10)       
  1.94 %  ┃   windexirc         5 (20)            0:00:10 (1)        
  1.79 %  ┃    jada0459         28 (14)           0:00:37 (9)        
  1.79 %  ┃    jeffmut          44 (2)            0:17:06 (21)       
  1.55 %  ┃    sobalog          36 (5)            0:05:02 (19)       
  1.45 %  ┃  larryflorio        12 (19)           0:00:34 (7)        
  1.37 %  ┃    254karan         20 (17)           0:00:55 (12)       
  1.37 %  ┃ wittytrader_05      30 (13)           0:01:17 (16)       
  1.22 %  ┃     0xmigi          23 (16)           0:01:11 (15)       
  1.16 %  ┃   iamspoosh         13 (18)           0:05:33 (20)       
  1.11 %  ┃    k.aran_          1 (21)            0:03:38 (18)       
```"
1232246411769151508,2024-04-23 08:27:18.639510,thegiwi,False,general,I haven't used it in a loooong time.
1232248859665895434,2024-04-23 08:37:02.242545,thinxtomuch,False,general,Okay it is an old version that I really like
1232261557912862810,2024-04-23 09:27:29.752308,thegiwi,False,🧩-letterloops,$feedme
1232261559192125523,2024-04-23 09:27:30.179601,LetterLoops,True,🧩-letterloops,
1232261561780011019,2024-04-23 09:27:30.732257,LetterLoops,True,🧩-letterloops,
1232261654922793030,2024-04-23 09:27:52.894059,thegiwi,False,🧩-letterloops,yellownesses
1232261655602266144,2024-04-23 09:27:53.146703,LetterLoops,True,🧩-letterloops,"🥳 You Got it 🥳
Solved in 23 seconds
3/4 of Today's summoned puzzles solved."
1232261710816219158,2024-04-23 09:28:06.193806,thegiwi,False,🧩-letterloops,relectees
1232261727211491358,2024-04-23 09:28:10.102939,thegiwi,False,🧩-letterloops,relecteds
1232261743254700092,2024-04-23 09:28:13.976636,thegiwi,False,🧩-letterloops,relectees
1232261800498827308,2024-04-23 09:28:27.665525,thegiwi,False,🧩-letterloops,relelecteed
1232261867246718997,2024-04-23 09:28:43.487057,thegiwi,False,🧩-letterloops,reelected
1232261868136042556,2024-04-23 09:28:43.708232,LetterLoops,True,🧩-letterloops,"🥳 You Got it 🥳
Solved in 1 minute and 14 seconds
4/4 of Today's summoned puzzles solved."
1232261912062988298,2024-04-23 09:28:54.184810,thegiwi,False,🧩-letterloops,show leaderboard
1232261912293802105,2024-04-23 09:28:54.324375,LetterLoops,True,🧩-letterloops,"```
  LootBox ┃      User        Solves (Rank)   Mean Solve Time (Rank)  
 ━━━━━━━━━ ━━━━━━━━━━━━━━━━ ━━━━━━━━━━━━━━━ ━━━━━━━━━━━━━━━━━━━━━━━━ 
  21.99 % ┃  yogeshbansal       35 (7)            0:00:29 (5)        
  21.99 % ┃   holydiving        33 (9)            0:00:26 (3)        
  7.33 %  ┃    thegiwi          38 (3)            0:00:54 (12)       
  7.33 %  ┃ omnianalytics       34 (8)            0:00:34 (7)        
  7.33 %  ┃  maryann9609        37 (4)            0:00:49 (11)       
  7.33 %  ┃   makaroni00        31 (12)           0:00:26 (3)        
  3.14 %  ┃     0xjudd          32 (11)           0:00:29 (5)        
  2.75 %  ┃   hmairura6         37 (4)            0:00:55 (13)       
  2.75 %  ┃    htp8861          27 (15)           0:00:19 (2)        
   2.2 %  ┃    emusakhi         48 (1)            0:03:04 (17)       
   2.0 %  ┃     .djw.           33 (9)            0:00:43 (10)       
  1.83 %  ┃   windexirc         5 (20)            0:00:10 (1)        
  1.69 %  ┃    jada0459         28 (14)           0:00:37 (9)        
  1.69 %  ┃    jeffmut          44 (2)            0:17:06 (21)       
  1.47 %  ┃    sobalog          36 (6)            0:05:02 (19)       
  1.37 %  ┃  larryflorio        12 (19)           0:00:34 (7)        
  1.29 %  ┃ wittytrader_05      30 (13)           0:01:17 (16)       
  1.22 %  ┃    254karan         20 (17)           0:00:55 (13)       
  1.16 %  ┃     0xmigi          23 (16)           0:01:11 (15)       
   1.1 %  ┃   iamspoosh         13 (18)           0:05:33 (20)       
  1.05 %  ┃    k.aran_          1 (21)            0:03:38 (18)       
```"
1232330180429615155,2024-04-23 14:00:10.691241,StoryBot,True,📖-story-sharing,
1232332762749341859,2024-04-23 14:10:26.347220,windexirc,False,🧩-letterloops,$feedme
1232332764293107752,2024-04-23 14:10:26.783473,LetterLoops,True,🧩-letterloops,
1232332766742577223,2024-04-23 14:10:27.313842,LetterLoops,True,🧩-letterloops,
1232332982476472421,2024-04-23 14:11:18.710960,emusakhi,False,🧩-letterloops,Calligrapher
1232332983201955900,2024-04-23 14:11:18.866243,LetterLoops,True,🧩-letterloops,"🔒 Puzzle Still Exclusive 🔒
4/6 of Today's summoned puzzles solved."
1232333114890784858,2024-04-23 14:11:50.272439,jeffmut,False,🧩-letterloops,Biological
1232333115616395304,2024-04-23 14:11:50.440482,LetterLoops,True,🧩-letterloops,"🔒 Puzzle Still Exclusive 🔒
4/6 of Today's summoned puzzles solved."
1232333164857524227,2024-04-23 14:12:02.273117,emusakhi,False,🧩-letterloops,Calligrapher
1232333165725483048,2024-04-23 14:12:02.387715,LetterLoops,True,🧩-letterloops,"🔒 Puzzle Still Exclusive 🔒
4/6 of Today's summoned puzzles solved."
1232333182259429376,2024-04-23 14:12:06.331374,emusakhi,False,🧩-letterloops,Calligrapher
1232333182876254268,2024-04-23 14:12:06.475860,LetterLoops,True,🧩-letterloops,"🔒 Puzzle Still Exclusive 🔒
4/6 of Today's summoned puzzles solved."
1232333196390305822,2024-04-23 14:12:09.691025,emusakhi,False,🧩-letterloops,Calligrapher
1232333196881039461,2024-04-23 14:12:09.816489,LetterLoops,True,🧩-letterloops,"🔒 Puzzle Still Exclusive 🔒
4/6 of Today's summoned puzzles solved."
1232333212802617385,2024-04-23 14:12:13.642581,emusakhi,False,🧩-letterloops,Calligrapher
1232333213309997086,2024-04-23 14:12:13.726610,LetterLoops,True,🧩-letterloops,"🔒 Puzzle Still Exclusive 🔒
4/6 of Today's summoned puzzles solved."
1232333226534764574,2024-04-23 14:12:16.902800,emusakhi,False,🧩-letterloops,Calligrapher
